iter	MultiClass
354	1.146991015
355	1.146955811
356	1.146888571
357	1.146852314
358	1.146768787
359	1.146704888
360	1.146603699
361	1.146517676
362	1.146467792
363	1.146424394
364	1.146334515
365	1.146287037
366	1.146221299
367	1.146215368
368	1.146170849
369	1.146102344
370	1.146046815
371	1.146000685
372	1.145974484
373	1.145923709
374	1.145881999
375	1.14584983
376	1.1457919
377	1.145727638
378	1.145685108
379	1.145621083
380	1.145565273
381	1.145504697
382	1.145475821
383	1.145433273
384	1.145423774
385	1.145355245
386	1.145321351
387	1.14525269
388	1.145229371
389	1.145178089
390	1.145096501
391	1.145045711
392	1.144988583
393	1.144934385
394	1.144851277
395	1.144833115
396	1.144825127
397	1.144776746
398	1.1447154
399	1.144644988
