experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
MI,FT,Machine Learning Engineer,194750,North America,0,North America,M
SE,FT,Data Scientist,125500,North America,100,North America,M
EN,FT,Data Analyst,61000,North America,0,North America,M
SE,FT,Manager,134550,North America,0,North America,M
MI,FT,Software Engineer,65000,North America,100,North America,M
MI,FT,Data Engineer,98300,North America,0,North America,M
SE,FT,Engineer,319000,North America,0,North America,M
EN,FT,Analyst,144050,North America,0,North America,M
MI,FT,Analyst,85000,North America,0,North America,M
SE,FT,Data Engineer,173000,North America,100,North America,M
EX,FT,Software Engineer,230000,North America,0,North America,M
MI,FT,Data Engineer,289469,North America,0,North America,M
EN,FT,Research Scientist,112000,North America,0,North America,M
MI,FT,Data Analyst,60900,North America,0,North America,M
EN,FT,Data Analyst,88200,North America,100,North America,M
MI,FT,Data Analyst,59500,North America,0,North America,L
MI,FT,Software Engineer,303000,North America,0,North America,M
SE,FT,Machine Learning Engineer,160000,North America,0,North America,M
SE,FT,Data Architect,176770,North America,100,North America,M
SE,FT,Analyst,91000,North America,0,North America,M
SE,FT,Data Scientist,96000,Europe,0,Europe,M
EN,FT,Data Analyst,88500,North America,0,North America,M
SE,FT,Data Engineer,88600,North America,0,North America,M
SE,FT,Engineer,165000,North America,100,North America,M
SE,FT,Data Scientist,100000,North America,100,North America,M
SE,FT,Engineer,165500,North America,0,North America,M
EN,FT,Data Scientist,47840,North America,0,North America,M
MI,FT,Data Engineer,128000,North America,0,North America,M
EN,FT,Data Engineer,87500,Europe,0,Europe,M
MI,FT,Data Scientist,136000,North America,0,North America,M
SE,FT,Data Analyst,150250,North America,0,North America,M
SE,FT,Data Scientist,96900,North America,0,North America,M
SE,FT,Data Analyst,145850,North America,100,North America,M
SE,FT,Software Engineer,284900,North America,0,North America,M
MI,FT,Data Scientist,176355,North America,0,North America,M
EN,FT,Engineer,82000,North America,0,North America,M
SE,FT,Manager,302800,North America,0,North America,M
MI,FT,Software Engineer,170000,North America,100,North America,M
MI,FT,Data Scientist,116259,Oceania,0,Oceania,M
EX,FT,Machine Learning Engineer,183400,North America,0,North America,M
SE,FT,Data Scientist,44444,Europe,0,Europe,M
MI,FT,Engineer,128544,North America,0,North America,M
EN,FT,Data Analyst,73000,North America,100,North America,M
SE,FT,Software Engineer,100900,North America,0,North America,M
SE,FT,Data Scientist,136600,North America,0,North America,M
SE,FT,Machine Learning Engineer,139650,North America,0,North America,M
SE,FT,Machine Learning Engineer,306500,North America,0,North America,M
MI,FT,Data Scientist,125600,North America,0,North America,M
SE,FT,Data Scientist,230000,North America,100,North America,M
SE,FT,Data Architect,100000,Europe,0,Europe,M
EN,FT,Data Analyst,30000,Europe,0,Europe,M
MI,FT,Data Analyst,84400,North America,100,North America,M
SE,FT,Data Engineer,172469,North America,0,North America,M
SE,FT,Data Engineer,153000,North America,100,North America,M
SE,FT,Engineer,172400,North America,0,North America,M
EN,FT,Engineer,37000,North America,0,North America,M
SE,FT,Data Engineer,142516,North America,0,North America,M
SE,FT,Machine Learning Engineer,156400,North America,0,North America,M
SE,FT,Data Scientist,104603,North America,0,North America,M
SE,FT,Data Scientist,237500,North America,0,North America,M
SE,FT,Machine Learning Engineer,180000,North America,0,North America,M
MI,FT,Engineer,223600,North America,0,North America,L
EN,FT,Data Analyst,124000,North America,0,North America,M
MI,FT,Machine Learning Engineer,92160,North America,0,North America,M
SE,FT,Data Analyst,182400,North America,0,North America,M
SE,FT,Software Engineer,283780,North America,0,North America,M
SE,FT,Engineer,246400,North America,0,North America,M
EN,FT,Data Analyst,87000,North America,0,North America,M
EX,FT,Data Scientist,161600,North America,0,North America,M
MI,FT,Data Analyst,115000,North America,0,North America,M
SE,FT,Research Scientist,86000,North America,0,North America,M
SE,FT,Analyst,142320,North America,0,North America,M
SE,FT,Data Scientist,65600,Europe,0,Europe,M
SE,FT,Data Analyst,120165,North America,0,North America,M
MI,FT,Data Analyst,232222,North America,0,North America,M
EN,FT,Data Analyst,100400,North America,0,North America,M
EN,FT,Data Scientist,103000,North America,0,North America,L
MI,FT,Data Scientist,54615,North America,0,North America,M
MI,FT,Data Scientist,90000,North America,0,North America,M
SE,FT,Research Scientist,200000,North America,0,North America,M
SE,FT,Data Scientist,166000,North America,0,North America,M
SE,FT,Data Engineer,144500,North America,0,North America,M
SE,FT,Machine Learning Engineer,262269,North America,100,North America,M
EN,FT,Data Scientist,60800,North America,100,North America,M
SE,FT,Machine Learning Engineer,197866,North America,0,North America,M
SE,FT,Data Analyst,44803,North America,0,North America,M
MI,FT,Data Analyst,68500,North America,0,North America,M
MI,FT,Machine Learning Engineer,140100,North America,100,North America,M
SE,FT,Research Scientist,223500,North America,0,North America,M
SE,FT,Machine Learning Engineer,164500,North America,0,North America,M
MI,FT,Research Scientist,295000,North America,0,North America,M
SE,FT,Data Engineer,256300,North America,0,North America,M
SE,FT,Engineer,181050,North America,0,North America,M
SE,FT,Manager,233923,North America,0,North America,M
SE,FT,Software Engineer,289400,North America,0,North America,M
SE,FT,Data Analyst,140726,North America,0,North America,M
SE,FT,Software Engineer,179300,North America,100,North America,M
MI,FT,Data Engineer,80826,Europe,0,Europe,M
SE,FT,Software Engineer,103685,North America,0,North America,M
EN,FT,Data Scientist,158200,North America,0,North America,M
MI,FT,Software Engineer,149400,North America,0,North America,M
SE,FT,Analyst,140109,North America,0,North America,M
MI,FT,Data Scientist,119273,North America,100,North America,M
MI,FT,Research Scientist,129400,North America,0,North America,M
EN,PT,Data Engineer,93000,North America,0,North America,M
SE,FT,Software Engineer,99500,North America,0,North America,M
SE,FT,Engineer,125000,North America,100,North America,M
EN,FT,Data Analyst,163700,North America,0,North America,M
SE,FT,Data Architect,190000,North America,0,North America,M
MI,FT,Data Engineer,85000,North America,100,North America,M
EN,FT,Data Analyst,69000,North America,0,North America,M
EN,FT,Data Analyst,168888,North America,0,North America,M
SE,FT,Software Engineer,130000,North America,0,North America,M
SE,FT,Machine Learning Engineer,170000,North America,0,North America,M
MI,FT,Machine Learning Engineer,195540,North America,0,North America,M
MI,FT,Engineer,225000,North America,0,North America,M
MI,FT,Data Engineer,159000,North America,0,North America,M
SE,FT,Data Architect,169767,Oceania,0,Oceania,M
SE,FT,Data Engineer,192036,North America,0,North America,M
EN,FT,Analyst,150000,North America,0,North America,M
MI,FT,Engineer,43750,Europe,0,Europe,M
SE,FT,Research Scientist,337000,North America,0,North America,M
SE,FT,Data Analyst,186000,North America,0,North America,M
MI,FT,Data Analyst,101000,North America,100,North America,M
SE,FT,Engineer,175900,North America,0,North America,M
MI,FT,Software Engineer,158400,North America,0,North America,M
SE,FT,Analyst,118900,North America,0,North America,M
