experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
EN,FT,Data Analyst,176000,North America,100,North America,M
SE,FT,Data Engineer,247200,North America,0,North America,M
SE,FT,Data Scientist,234565,North America,0,North America,M
SE,FT,Manager,123000,North America,0,North America,M
MI,FT,Data Scientist,139000,North America,0,North America,M
SE,FT,Data Engineer,195374,North America,0,North America,M
EN,FT,Data Analyst,39245,Europe,0,Europe,M
SE,FT,Engineer,87000,North America,0,North America,M
SE,FT,Data Analyst,60437,Europe,0,Europe,M
SE,FT,Data Scientist,191061,North America,0,North America,M
SE,FT,Software Engineer,128250,North America,0,North America,M
